acc,status,remain,reward,prize,ms,note
abul10000,SPUN,1,500,500 xu,3534,
abul10001,SPUN,1,25,25 xu,3625,
abul10002,SPUN,1,25,25 xu,3442,
abul10003,SPUN,1,500,500 xu,3497,
abul10004,SPUN,1,50,50 xu,3517,
abul10005,SPUN,1,1000,1000 xu,3499,
abul10006,SPUN,1,100,100 xu,3542,
abul10007,SPUN,1,75,75 xu,3581,
abul10008,SPUN,1,1000,1000 xu,3552,
abul10009,SPUN,1,250,250 xu,3553,
abul10010,SPUN,1,300,300 xu,3485,
abul10011,SPUN,1,50,50 xu,3597,
abul10012,SPUN,1,25,25 xu,3626,
abul10013,SPUN,1,10,10 xu,3623,
abul10014,SPUN,1,750,750 xu,3646,
abul10015,SPUN,1,300,300 xu,3590,
abul10016,SPUN,1,75,75 xu,3630,
abul10017,SPUN,1,10,10 xu,3531,
abul10018,SPUN,1,150,150 xu,3546,
abul10019,SPUN,1,50,50 xu,3589,
abul10020,SPUN,1,75,75 xu,3520,
abul10021,SPUN,1,500,500 xu,3512,
abul10022,SPUN,1,1000,1000 xu,3504,
abul10023,SPUN,1,250,250 xu,3525,
abul10024,SPUN,1,100,100 xu,3500,
abul10025,SPUN,1,150,150 xu,3597,
abul10026,SPUN,1,500,500 xu,3544,
abul10027,SPUN,1,500,500 xu,3578,
abul10028,SPUN,1,500,500 xu,3470,
abul10029,SPUN,1,250,250 xu,3510,
abul10030,SPUN,1,10,10 xu,3601,
abul10031,SPUN,1,300,300 xu,3544,
abul10032,SPUN,1,10,10 xu,3643,
abul10033,SPUN,1,1000,1000 xu,3639,
abul10034,SPUN,1,10,10 xu,3611,
abul10035,SPUN,1,200,200 xu,3566,
abul10036,SPUN,1,300,300 xu,3596,
abul10037,SPUN,1,300,300 xu,3148,
abul10038,SPUN,1,500,500 xu,3610,
abul10039,SPUN,1,250,250 xu,3630,
abul10040,SPUN,1,200,200 xu,3544,
abul10041,SPUN,1,10,10 xu,3470,
abul10042,SPUN,1,150,150 xu,3565,
abul10043,SPUN,1,100,100 xu,3593,
abul10044,SPUN,1,10,10 xu,3639,
abul10045,SPUN,1,100,100 xu,3519,
abul10046,SPUN,1,300,300 xu,3538,
abul10047,SPUN,1,50,50 xu,3168,
abul10048,SPUN,1,250,250 xu,3560,
abul10049,SPUN,1,200,200 xu,3617,
abul10050,SPUN,1,25,25 xu,3565,
abul10051,SPUN,1,10,10 xu,3551,
abul10052,SPUN,1,100,100 xu,3675,
abul10053,SPUN,1,500,500 xu,4023,
abul10054,SPUN,1,25,25 xu,3752,
abul10055,SPUN,1,500,500 xu,3535,
abul10056,SPUN,1,750,750 xu,3574,
abul10057,SPUN,1,500,500 xu,3585,
abul10058,SPUN,1,250,250 xu,3526,
abul10059,SPUN,1,200,200 xu,3672,
abul10060,SPUN,1,1000,1000 xu,3566,
abul10061,SPUN,1,50,50 xu,3686,
abul10062,SPUN,1,250,250 xu,3565,
abul10063,SPUN,1,10,10 xu,3110,
abul10064,SPUN,1,10,10 xu,3582,
abul10065,SPUN,1,200,200 xu,3517,
abul10066,SPUN,1,75,75 xu,3492,
abul10067,SPUN,1,750,750 xu,3594,
abul10068,SPUN,1,100,100 xu,3585,
abul10069,SPUN,1,200,200 xu,3511,
abul10070,SPUN,1,250,250 xu,3565,
abul10071,SPUN,1,750,750 xu,3573,
abul10072,SPUN,1,75,75 xu,3557,
abul10073,SPUN,1,300,300 xu,3502,
abul10074,SPUN,1,25,25 xu,3498,
abul10075,SPUN,1,75,75 xu,3665,
abul10076,SPUN,1,50,50 xu,3622,
abul10077,SPUN,1,300,300 xu,3449,
abul10078,SPUN,1,250,250 xu,3547,
abul10079,SPUN,1,100,100 xu,3535,
abul10080,SPUN,1,300,300 xu,3508,
abul10081,SPUN,1,200,200 xu,3544,
abul10082,SPUN,1,200,200 xu,3547,
abul10083,SPUN,1,150,150 xu,3564,
abul10084,SPUN,1,250,250 xu,3613,
abul10085,SPUN,1,1000,1000 xu,3593,
abul10086,SPUN,1,150,150 xu,3605,
abul10087,SPUN,1,1000,1000 xu,3695,
abul10088,SPUN,1,300,300 xu,3676,
abul10089,SPUN,1,150,150 xu,3518,
abul10090,SPUN,1,200,200 xu,3482,
abul10091,SPUN,1,750,750 xu,3466,
abul10092,SPUN,1,200,200 xu,3661,
abul10093,SPUN,1,25,25 xu,3567,
abul10094,SPUN,1,75,75 xu,3696,
abul10095,SPUN,1,10,10 xu,3586,
abul10096,SPUN,1,750,750 xu,3583,
abul10097,SPUN,1,1000,1000 xu,3592,
abul10098,SPUN,1,10,10 xu,3462,
abul10099,SPUN,1,200,200 xu,3614,
abul10100,SPUN,1,100,100 xu,3610,
abul10101,SPUN,1,300,300 xu,3439,
abul10102,SPUN,1,100,100 xu,3559,
abul10103,SPUN,1,1000,1000 xu,3473,
abul10104,SPUN,1,500,500 xu,3609,
abul10105,SPUN,1,500,500 xu,3587,
abul10106,SPUN,1,200,200 xu,3498,
abul10107,SPUN,1,200,200 xu,3568,
abul10108,SPUN,1,75,75 xu,3545,
abul10109,SPUN,1,150,150 xu,3629,
abul10110,SPUN,1,10,10 xu,3488,
abul10111,SPUN,1,1000,1000 xu,3646,
abul10112,SPUN,1,75,75 xu,3613,
abul10113,SPUN,1,200,200 xu,3554,
abul10114,SPUN,1,750,750 xu,3536,
abul10115,SPUN,1,500,500 xu,3606,
abul10116,SPUN,1,75,75 xu,3644,
abul10117,SPUN,1,500,500 xu,3480,
abul10118,SPUN,1,100,100 xu,3524,
abul10119,SPUN,1,200,200 xu,3443,
abul10120,SPUN,1,300,300 xu,3488,
abul10121,SPUN,1,50,50 xu,3534,
abul10122,SPUN,1,75,75 xu,3455,
abul10123,SPUN,1,75,75 xu,3635,
abul10124,SPUN,1,250,250 xu,3538,
abul10125,SPUN,1,50,50 xu,3586,
abul10126,SPUN,1,1000,1000 xu,3566,
abul10127,SPUN,1,250,250 xu,3701,
abul10128,SPUN,1,250,250 xu,3635,
abul10129,SPUN,1,100,100 xu,3589,
abul10130,SPUN,1,50,50 xu,3445,
abul10131,SPUN,1,200,200 xu,3560,
abul10132,SPUN,1,1000,1000 xu,3653,
abul10133,SPUN,1,1000,1000 xu,3568,
abul10134,SPUN,1,750,750 xu,3567,
abul10135,SPUN,1,300,300 xu,3608,
abul10136,SPUN,1,150,150 xu,3517,
abul10137,SPUN,1,1000,1000 xu,3489,
abul10138,SPUN,1,25,25 xu,3470,
abul10139,SPUN,1,150,150 xu,3485,
abul10140,SPUN,1,150,150 xu,3583,
abul10141,SPUN,1,500,500 xu,3584,
abul10142,SPUN,1,75,75 xu,3143,
abul10143,SPUN,1,10,10 xu,3562,
